key;iga_global_value;iga_local_value;iga_access;gcv;gcv_returntype;ig
allow_url_fopen;1;1;4;1;string;1
allow_url_include;;;4;;string;
always_populate_raw_post_data;0;0;6;;boolean;0
arg_separator.input;&;&;6;;boolean;&
arg_separator.output;&;&;7;;boolean;&
asp_tags;;;6;;string;
assert.active;1;1;7;;boolean;1
assert.bail;0;0;7;;boolean;0
assert.callback;;;7;;boolean;
assert.quiet_eval;0;0;7;;boolean;0
assert.warning;1;1;7;;boolean;1
auto_append_file;;;6;;string;
auto_detect_line_endings;0;0;7;;boolean;0
auto_globals_jit;1;1;6;1;string;1
auto_prepend_file;;;6;;string;
bcmath.scale;0;0;7;0;string;0
browscap;;;4;;boolean;
curl.cainfo;/home/ingmar/lampstack-5.6.36-2/common/openssl/certs/curl-ca-bundle.crt;/home/ingmar/lampstack-5.6.36-2/common/openssl/certs/curl-ca-bundle.crt;4;/home/ingmar/lampstack-5.6.36-2/common/openssl/certs/curl-ca-bundle.crt;string;/home/ingmar/lampstack-5.6.36-2/common/openssl/certs/curl-ca-bundle.crt
date.default_latitude;31.7667;31.7667;7;;boolean;31.7667
date.default_longitude;35.2333;35.2333;7;;boolean;35.2333
date.sunrise_zenith;90.583333;90.583333;7;;boolean;90.583333
date.sunset_zenith;90.583333;90.583333;7;;boolean;90.583333
date.timezone;America/Los_Angeles;America/Los_Angeles;7;America/Los_Angeles;string;America/Los_Angeles
default_charset;UTF-8;UTF-8;7;UTF-8;string;UTF-8
default_mimetype;text/html;text/html;7;text/html;string;text/html
default_socket_timeout;60;60;7;60;string;60
disable_classes;;;4;;string;
disable_functions;;;4;;string;
display_errors;;1;7;;string;1
display_startup_errors;;1;7;;string;1
doc_root;;;4;;string;
docref_ext;;;7;;boolean;
docref_root;;;7;;boolean;
enable_dl;;;4;;string;
enable_post_data_reading;1;1;6;;boolean;1
engine;1;1;7;1;string;1
error_append_string;;;7;;boolean;
error_log;D:/pforrin/mvo_php_error.log;D:/pforrin/mvo_php_error.log;7;;boolean;D:/pforrin/mvo_php_error.log
error_prepend_string;;;7;;boolean;
error_reporting;22527;-1;7;22527;string;-1
exif.decode_jis_intel;JIS;JIS;7;;boolean;JIS
exif.decode_jis_motorola;JIS;JIS;7;;boolean;JIS
exif.decode_unicode_intel;UCS-2LE;UCS-2LE;7;;boolean;UCS-2LE
exif.decode_unicode_motorola;UCS-2BE;UCS-2BE;7;;boolean;UCS-2BE
exif.encode_jis;;;7;;boolean;
exif.encode_unicode;ISO-8859-15;ISO-8859-15;7;;boolean;ISO-8859-15
exit_on_timeout;0;0;7;;boolean;0
expose_php;1;1;4;1;string;1
extension_dir;/home/ingmar/lampstack-5.6.36-2/php/lib/php/extensions;/home/ingmar/lampstack-5.6.36-2/php/lib/php/extensions;4;/home/ingmar/lampstack-5.6.36-2/php/lib/php/extensions;string;/home/ingmar/lampstack-5.6.36-2/php/lib/php/extensions
file_uploads;1;1;4;1;string;1
filter.default;unsafe_raw;unsafe_raw;6;;boolean;unsafe_raw
filter.default_flags;;;6;;boolean;
from;;;7;;boolean;
gd.jpeg_ignore_warning;0;0;7;;boolean;0
highlight.comment;#FF8000;#FF8000;7;;boolean;#FF8000
highlight.default;#0000BB;#0000BB;7;;boolean;#0000BB
highlight.html;#000000;#000000;7;;boolean;#000000
highlight.keyword;#007700;#007700;7;;boolean;#007700
highlight.string;#DD0000;#DD0000;7;;boolean;#DD0000
html_errors;1;1;7;1;string;1
iconv.input_encoding;;;7;;boolean;
iconv.internal_encoding;;;7;;boolean;
iconv.output_encoding;;;7;;boolean;
ignore_repeated_errors;;;7;;string;
ignore_repeated_source;;;7;;string;
ignore_user_abort;0;0;7;;boolean;0
implicit_flush;;;7;;string;
include_path;.:/home/ingmar/lampstack-5.6.36-2/php/lib/php:/home/ingmar/lampstack-5.6.36-2/frameworks/smarty/libs;.:/home/ingmar/lampstack-5.6.36-2/php/lib/php:/home/ingmar/lampstack-5.6.36-2/frameworks/smarty/libs;7;.:/home/ingmar/lampstack-5.6.36-2/php/lib/php:/home/ingmar/lampstack-5.6.36-2/frameworks/smarty/libs;string;.:/home/ingmar/lampstack-5.6.36-2/php/lib/php:/home/ingmar/lampstack-5.6.36-2/frameworks/smarty/libs
input_encoding;;;7;;boolean;
internal_encoding;;;7;;boolean;
intl.default_locale;;;7;;boolean;
intl.error_level;0;0;7;;boolean;0
intl.use_exceptions;0;0;7;;boolean;0
last_modified;0;0;7;;boolean;0
ldap.max_links;-1;-1;4;-1;string;-1
log_errors;1;on;7;1;string;on
log_errors_max_len;1024;1024;7;1024;string;1024
mail.add_x_header;1;1;6;1;string;1
mail.force_extra_parameters;;;6;;boolean;
mail.log;;;6;;boolean;
max_execution_time;120;120;7;120;string;120
max_file_uploads;20;20;6;20;string;20
max_input_nesting_level;64;64;6;;boolean;64
max_input_time;300;300;6;300;string;300
max_input_vars;1000;1000;6;;boolean;1000
mbstring.detect_order;;;7;;boolean;
mbstring.encoding_translation;0;0;6;;boolean;0
mbstring.func_overload;0;0;4;;boolean;0
mbstring.http_input;;;7;;boolean;
mbstring.http_output;;;7;;boolean;
mbstring.http_output_conv_mimetypes;"^(text/|application/xhtml\+xml)";"^(text/|application/xhtml\+xml)";7;;boolean;"^(text/|application/xhtml\+xml)"
mbstring.internal_encoding;;;7;;boolean;
mbstring.language;neutral;neutral;7;;boolean;neutral
mbstring.strict_detection;0;0;7;;boolean;0
mbstring.substitute_character;;;7;;boolean;
mcrypt.algorithms_dir;;;7;;boolean;
mcrypt.modes_dir;;;7;;boolean;
memory_limit;128M;128M;7;128M;string;128M
mongodb.debug;;;7;;boolean;
mysql.allow_local_infile;1;1;4;1;string;1
mysql.allow_persistent;1;1;4;1;string;1
mysql.connect_timeout;60;60;7;60;string;60
mysql.default_host;;;7;;string;
mysql.default_password;;;7;;string;
mysql.default_port;3306;3306;7;3306;string;3306
mysql.default_socket;/home/ingmar/lampstack-5.6.36-2/mysql/tmp/mysql.sock;/home/ingmar/lampstack-5.6.36-2/mysql/tmp/mysql.sock;7;/home/ingmar/lampstack-5.6.36-2/mysql/tmp/mysql.sock;string;/home/ingmar/lampstack-5.6.36-2/mysql/tmp/mysql.sock
mysql.default_user;;;7;;string;
mysql.max_links;-1;-1;4;-1;string;-1
mysql.max_persistent;-1;-1;4;-1;string;-1
mysql.trace_mode;;;7;;string;
mysqli.allow_local_infile;1;1;4;;boolean;1
mysqli.allow_persistent;1;1;4;1;string;1
mysqli.default_host;;;7;;string;
mysqli.default_port;3306;3306;7;3306;string;3306
mysqli.default_pw;;;7;;string;
mysqli.default_socket;/home/ingmar/lampstack-5.6.36-2/mysql/tmp/mysql.sock;/home/ingmar/lampstack-5.6.36-2/mysql/tmp/mysql.sock;7;/home/ingmar/lampstack-5.6.36-2/mysql/tmp/mysql.sock;string;/home/ingmar/lampstack-5.6.36-2/mysql/tmp/mysql.sock
mysqli.default_user;;;7;;string;
mysqli.max_links;-1;-1;4;-1;string;-1
mysqli.max_persistent;-1;-1;4;-1;string;-1
mysqli.reconnect;;;4;;string;
mysqli.rollback_on_cached_plink;0;0;4;;boolean;0
mysqlnd.collect_memory_statistics;;;4;;string;
mysqlnd.collect_statistics;1;1;7;1;string;1
mysqlnd.debug;;;4;;boolean;
mysqlnd.fetch_data_copy;0;0;7;;boolean;0
mysqlnd.log_mask;0;0;7;;boolean;0
mysqlnd.mempool_default_size;16000;16000;7;;boolean;16000
mysqlnd.net_cmd_buffer_size;4096;4096;7;;boolean;4096
mysqlnd.net_read_buffer_size;32768;32768;7;;boolean;32768
mysqlnd.net_read_timeout;31536000;31536000;4;;boolean;31536000
mysqlnd.sha256_server_public_key;;;2;;boolean;
mysqlnd.trace_alloc;;;4;;boolean;
opcache.blacklist_filename;;;4;;boolean;
opcache.consistency_checks;0;0;7;;boolean;0
opcache.dups_fix;0;0;7;;boolean;0
opcache.enable;1;1;7;1;string;1
opcache.enable_cli;0;0;4;0;string;0
opcache.enable_file_override;0;0;4;;boolean;0
opcache.error_log;;;4;;boolean;
opcache.fast_shutdown;1;1;4;1;string;1
opcache.file_update_protection;2;2;7;;boolean;2
opcache.force_restart_timeout;180;180;4;;boolean;180
opcache.inherited_hack;1;1;4;;boolean;1
opcache.interned_strings_buffer;8;8;4;8;string;8
opcache.load_comments;1;1;7;;boolean;1
opcache.log_verbosity_level;1;1;4;;boolean;1
opcache.max_accelerated_files;10000;10000;4;10000;string;10000
opcache.max_file_size;0;0;4;;boolean;0
opcache.max_wasted_percentage;5;5;4;;boolean;5
opcache.memory_consumption;128;128;4;128;string;128
opcache.optimization_level;0x7FFFBFFF;0x7FFFBFFF;4;;boolean;0x7FFFBFFF
opcache.preferred_memory_model;;;4;;boolean;
opcache.protect_memory;0;0;4;;boolean;0
opcache.restrict_api;;;4;;boolean;
opcache.revalidate_freq;60;60;7;60;string;60
opcache.revalidate_path;0;0;7;;boolean;0
opcache.save_comments;1;1;4;;boolean;1
opcache.use_cwd;1;1;4;;boolean;1
opcache.validate_permission;0;0;4;;boolean;0
opcache.validate_root;0;0;4;;boolean;0
opcache.validate_timestamps;1;1;7;;boolean;1
open_basedir;;;7;;boolean;
